stops_0;depart_airport_1;download_date;day_week_0;duration_0;number_destinations;link;airlines;depart_time_0;arrival_time_0;depart_time_1;depart_airport_0;stops_1;arrival_time_1;arrival_airport_0;date_1;number_stops_0;day_week_1;number_stops_1;arrival_airport_1;date_0;duration_1;price;currency
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;16:55;6:25;FCO;BRU;20:40;MAD;20-11;1;lun;1;FCO;17-11;14.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;23:15;12:40;FCO;BRU;20:40;MAD;20-11;1;lun;1;FCO;17-11;8;151;€
BRU;MAD;weekend;vie;9.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;10:45;20:25;6:25;FCO;BRU;22:35;MAD;20-11;1;lun;1;FCO;17-11;16.2;151;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;16:55;6:25;FCO;BRU;22:35;MAD;20-11;1;lun;1;FCO;17-11;16.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;23:15;12:40;FCO;BRU;22:35;MAD;20-11;1;lun;1;FCO;17-11;9.9;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;10:45;23:15;6:25;FCO;BRU;20:40;MAD;20-11;1;lun;1;FCO;17-11;14.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;23:15;6:25;FCO;BRU;16:50;MAD;20-11;1;lun;1;FCO;17-11;10.4;151;€
BRU;MAD;weekend;vie;13.8;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;20:25;6:25;FCO;BRU;20:40;MAD;20-11;1;lun;1;FCO;17-11;14.2;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;10:45;23:15;6:25;FCO;BRU;22:35;MAD;20-11;1;lun;1;FCO;17-11;16.2;151;€
BRU;MAD;weekend;vie;13.8;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;20:25;6:25;FCO;BRU;22:35;MAD;20-11;1;lun;1;FCO;17-11;16.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;23:15;6:25;FCO;BRU;20:40;MAD;20-11;1;lun;1;FCO;17-11;14.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;23:15;6:25;FCO;BRU;22:35;MAD;20-11;1;lun;1;FCO;17-11;16.2;151;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;11:50;21:10;FCO;BRU;9:55;MAD;20-11;1;lun;1;FCO;17-11;12.8;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;10:45;16:55;21:10;FCO;BRU;9:55;MAD;20-11;1;lun;1;FCO;17-11;12.8;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;11:50;17:45;FCO;BRU;9:55;MAD;20-11;1;lun;1;FCO;17-11;16.2;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;10:45;16:55;17:45;FCO;BRU;9:55;MAD;20-11;1;lun;1;FCO;17-11;16.2;161;€
BRU;MAD;weekend;vie;9.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;10:45;20:25;21:10;FCO;BRU;9:55;MAD;20-11;1;lun;1;FCO;17-11;12.8;161;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;16:55;21:10;FCO;BRU;9:55;MAD;20-11;1;lun;1;FCO;17-11;12.8;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-20;Brussels Airlines;6:35;11:50;21:10;FCO;BRU;16:50;MAD;20-11;1;lun;1;FCO;17-11;19.7;161;€
