stops_0;depart_airport_1;download_date;day_week_0;duration_0;number_destinations;link;airlines;depart_time_0;arrival_time_0;depart_time_1;depart_airport_0;stops_1;arrival_time_1;arrival_airport_0;date_1;number_stops_0;day_week_1;number_stops_1;arrival_airport_1;date_0;duration_1;price;currency
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;11:50;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;17:40;23:15;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;16:55;12:40;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;9.9;151;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;16:55;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;9.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;20:25;12:40;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;9.9;151;€
BRU;MAD;weekend;vie;9.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;20:25;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;16:55;12:40;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;9.9;151;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;16:55;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;11:50;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;17:40;23:15;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;16:55;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;23:15;12:40;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;9.9;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;23:15;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;13.8;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;20:25;12:40;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;9.9;151;€
BRU;MAD;weekend;vie;13.8;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;20:25;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;9.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;20:25;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;16:55;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;23:15;12:40;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;9.9;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;23:15;6:25;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;10.4;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;23:15;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
BRU;MAD;weekend;vie;13.8;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;20:25;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;23:15;6:25;FCO;BRU;22:35;MAD;4-12;1;lun;1;FCO;1-12;16.2;151;€
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Iberia;12:00;14:35;15:55;FCO;;18:25;MAD;4-12;0;lun;0;FCO;1-12;2.5;155;€
AMS;MAD;weekend;vie;6.1;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;KLM / Air France;10:00;16:05;17:45;FCO;CDG;23:15;MAD;4-12;1;lun;1;FCO;1-12;5.5;155;€
AMS;MAD;weekend;vie;10.4;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;KLM;13:00;23:25;10:55;FCO;AMS;23:10;MAD;4-12;1;lun;1;FCO;1-12;12.2;158;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;11:50;17:45;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;16.2;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;17:40;23:15;17:45;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;16.2;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;16:55;17:45;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;16.2;161;€
BRU;MAD;weekend;vie;9.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;20:25;17:45;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;16.2;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;11:50;12:40;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;21.2;161;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;16:55;17:45;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;16.2;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;17:40;23:15;12:40;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;21.2;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;16:55;12:40;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;21.2;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;11:50;17:45;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;23.1;161;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;23:15;17:45;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;16.2;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;17:40;23:15;17:45;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;23.1;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;16:55;17:45;FCO;BRU;16:50;MAD;4-12;1;lun;1;FCO;1-12;23.1;161;€
BRU;MAD;weekend;vie;13.8;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;20:25;17:45;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;16.2;161;€
BRU;MAD;weekend;vie;9.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;10:45;20:25;12:40;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;21.2;161;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-01/2017-12-04;Brussels Airlines;6:35;16:55;12:40;FCO;BRU;9:55;MAD;4-12;1;lun;1;FCO;1-12;21.2;161;€
