stops_0;depart_airport_1;download_date;day_week_0;duration_0;number_destinations;link;airlines;depart_time_0;arrival_time_0;depart_time_1;depart_airport_0;stops_1;arrival_time_1;arrival_airport_0;date_1;number_stops_0;day_week_1;number_stops_1;arrival_airport_1;date_0;duration_1;price;currency
;MAD;weekend;vie;2.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Iberia;19:10;21:40;19:40;FCO;;22:10;MAD;18-12;0;lun;0;FCO;15-12;2.5;139;€
CDG;MAD;weekend;vie;26.8;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Air France / KLM;6:20;9:05;16:50;FCO;AMS;9:10;MAD;18-12;1;lun;1;FCO;15-12;16.3;139;€
CGN, FRA;MAD;weekend;vie;10.8;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Ryanair / FlixBus;8:55;19:40;13:40;CIA;;16:10;MAD;18-12;2;lun;0;CIA;15-12;2.5;143;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;12:40;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;9.9;151;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;12:40;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;9.9;151;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;6:25;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;10.4;151;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;6:25;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;10.4;151;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;12:40;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;9.9;151;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;6:25;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;10.4;151;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;16:55;12:40;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;9.9;151;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;16:55;6:25;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;10.4;151;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;6:25;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;16.2;151;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;6:25;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;16.2;151;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;6:25;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;16.2;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;23:15;12:40;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;9.9;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;23:15;6:25;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;10.4;151;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;16:55;6:25;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;16.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;23:15;12:40;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;9.9;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;23:15;6:25;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;10.4;151;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;23:15;6:25;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;16.2;151;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;23:15;6:25;FCO;BRU;22:35;MAD;18-12;1;lun;1;FCO;15-12;16.2;151;€
;MAD;weekend;vie;2.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Iberia;15:20;17:50;8:45;FCO;;11:15;MAD;18-12;0;lun;0;FCO;15-12;2.5;155;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;17:45;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;16.2;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;17:45;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;16.2;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;17:45;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;16.2;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;12:40;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;21.2;161;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;16:55;17:45;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;16.2;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;12:40;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;21.2;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;12:40;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;21.2;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;17:45;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;23.1;161;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;23:15;17:45;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;16.2;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;17:45;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;23.1;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;17:45;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;23.1;161;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;16:55;12:40;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;21.2;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;6:25;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;27.5;161;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;23:15;17:45;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;16.2;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;6:25;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;27.5;161;€
BRU;MAD;weekend;vie;5.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;11:50;12:40;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;28.2;161;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;16:55;17:45;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;23.1;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;6:25;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;27.5;161;€
BRU;MAD;weekend;vie;5.6;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;17:40;23:15;12:40;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;28.2;161;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;23:15;12:40;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;21.2;161;€
BRU;MAD;weekend;vie;6.2;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;16:55;12:40;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;28.2;161;€
BRU;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;10:45;23:15;17:45;FCO;BRU;16:50;MAD;18-12;1;lun;1;FCO;15-12;23.1;161;€
BRU;MAD;weekend;vie;10.3;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;16:55;6:25;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;27.5;161;€
BRU;MAD;weekend;vie;16.7;2;https://www.kayak.es/flights/ROM-MAD/2017-12-15/2017-12-18;Brussels Airlines;6:35;23:15;12:40;FCO;BRU;9:55;MAD;18-12;1;lun;1;FCO;15-12;21.2;161;€
